"","geoid","year","NAME","measure_type","value","measure","region_type"
"1",51001090101,2021,"Census Tract 901.01, Accomack County, Virginia","average",14.1886567164179,"average_years_schooling","tract"
"2",51001090101,2021,"Census Tract 901.01, Accomack County, Virginia","index",0.390403603871191,"scaled_score","tract"
"3",51001090102,2021,"Census Tract 901.02, Accomack County, Virginia","average",14.4875886524823,"average_years_schooling","tract"
"4",51001090102,2021,"Census Tract 901.02, Accomack County, Virginia","index",0.428278230596427,"scaled_score","tract"
"5",51001090201,2021,"Census Tract 902.01, Accomack County, Virginia","average",13.1489529830107,"average_years_schooling","tract"
"6",51001090201,2021,"Census Tract 902.01, Accomack County, Virginia","index",0.25867331327034,"scaled_score","tract"
"7",51001090202,2021,"Census Tract 902.02, Accomack County, Virginia","average",12.6832,"average_years_schooling","tract"
"8",51001090202,2021,"Census Tract 902.02, Accomack County, Virginia","index",0.199662487562189,"scaled_score","tract"
"9",51001090300,2021,"Census Tract 903, Accomack County, Virginia","average",12.4262295081967,"average_years_schooling","tract"
"10",51001090300,2021,"Census Tract 903, Accomack County, Virginia","index",0.167104368866052,"scaled_score","tract"
"11",51001090401,2021,"Census Tract 904.01, Accomack County, Virginia","average",12.7454407294833,"average_years_schooling","tract"
"12",51001090401,2021,"Census Tract 904.01, Accomack County, Virginia","index",0.207548377665875,"scaled_score","tract"
"13",51001090402,2021,"Census Tract 904.02, Accomack County, Virginia","average",11.6844217438891,"average_years_schooling","tract"
"14",51001090402,2021,"Census Tract 904.02, Accomack County, Virginia","index",0.0731174481478056,"scaled_score","tract"
"15",51001090500,2021,"Census Tract 905, Accomack County, Virginia","average",12.4050279329609,"average_years_schooling","tract"
"16",51001090500,2021,"Census Tract 905, Accomack County, Virginia","index",0.164418132799689,"scaled_score","tract"
"17",51001090600,2021,"Census Tract 906, Accomack County, Virginia","average",13.8172268907563,"average_years_schooling","tract"
"18",51001090600,2021,"Census Tract 906, Accomack County, Virginia","index",0.343343506556852,"scaled_score","tract"
"19",51001090700,2021,"Census Tract 907, Accomack County, Virginia","average",13.3280196993261,"average_years_schooling","tract"
"20",51001090700,2021,"Census Tract 907, Accomack County, Virginia","index",0.281361036531529,"scaled_score","tract"
"21",51001090800,2021,"Census Tract 908, Accomack County, Virginia","average",12.9479050797182,"average_years_schooling","tract"
"22",51001090800,2021,"Census Tract 908, Accomack County, Virginia","index",0.233200577264463,"scaled_score","tract"
"23",51001980100,2021,"Census Tract 9801, Accomack County, Virginia","average",12,"average_years_schooling","tract"
"24",51001980100,2021,"Census Tract 9801, Accomack County, Virginia","index",0.113101160862355,"scaled_score","tract"
"25",51001980200,2021,"Census Tract 9802, Accomack County, Virginia","average",NA,"average_years_schooling","tract"
"26",51001980200,2021,"Census Tract 9802, Accomack County, Virginia","index",NA,"scaled_score","tract"
"27",51001990100,2021,"Census Tract 9901, Accomack County, Virginia","average",NA,"average_years_schooling","tract"
