"geoid","measure","year","value"
51001090101,"incarceration_rate_per_100000",2020,222
51001090102,"incarceration_rate_per_100000",2020,515
51001090201,"incarceration_rate_per_100000",2020,250
51001090202,"incarceration_rate_per_100000",2020,717
51001090300,"incarceration_rate_per_100000",2020,806
51001090401,"incarceration_rate_per_100000",2020,768
51001090402,"incarceration_rate_per_100000",2020,903
51001090500,"incarceration_rate_per_100000",2020,910
51001090600,"incarceration_rate_per_100000",2020,662
51001090700,"incarceration_rate_per_100000",2020,760
51001090800,"incarceration_rate_per_100000",2020,650
51001980100,"incarceration_rate_per_100000",2020,0
51001980200,"incarceration_rate_per_100000",2020,0
51001990100,"incarceration_rate_per_100000",2020,0
51001990200,"incarceration_rate_per_100000",2020,0
51003010100,"incarceration_rate_per_100000",2020,175
51003010201,"incarceration_rate_per_100000",2020,180
51003010202,"incarceration_rate_per_100000",2020,62
51003010301,"incarceration_rate_per_100000",2020,206
51003010302,"incarceration_rate_per_100000",2020,69
51003010303,"incarceration_rate_per_100000",2020,35
51003010401,"incarceration_rate_per_100000",2020,332
51003010402,"incarceration_rate_per_100000",2020,139
51003010501,"incarceration_rate_per_100000",2020,67
51003010502,"incarceration_rate_per_100000",2020,207
51003010602,"incarceration_rate_per_100000",2020,226
51003010603,"incarceration_rate_per_100000",2020,167
51003010604,"incarceration_rate_per_100000",2020,346
51003010701,"incarceration_rate_per_100000",2020,694
51003010702,"incarceration_rate_per_100000",2020,712
51003010801,"incarceration_rate_per_100000",2020,470
51003010802,"incarceration_rate_per_100000",2020,620
51003010901,"incarceration_rate_per_100000",2020,57
51003010904,"incarceration_rate_per_100000",2020,32
51003011000,"incarceration_rate_per_100000",2020,121
51003011101,"incarceration_rate_per_100000",2020,104
51003011102,"incarceration_rate_per_100000",2020,152
51003011103,"incarceration_rate_per_100000",2020,152
51003011201,"incarceration_rate_per_100000",2020,473
51003011202,"incarceration_rate_per_100000",2020,99
51003011301,"incarceration_rate_per_100000",2020,562
51003011302,"incarceration_rate_per_100000",2020,368
